GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000240682	3	128846258	128880136	78	26	593480	0.79361	0.21371	ISY1
ENSG00000169714	3	128888327	128902765	32	20	609318	2.182	0.014555	CNBP
ENSG00000181789	3	128968449	128996614	136	19	570766	3.4735	0.00025684	COPG1
ENSG00000183624	3	128997671	129025029	113	18	579494	4.2334	1.1508e-05	HMCES
ENSG00000184897	3	129033615	129035120	12	6	598808	3.7586	8.545e-05	H1FX
ENSG00000172771	3	129120164	129147494	144	17	613222	-0.32315	0.62671	EFCAB12
ENSG00000129071	3	129149787	129158878	28	7	607610	0.33799	0.36768	MBD4
ENSG00000163913	3	129158968	129239198	312	24	595840	0.38719	0.34931	IFT122
ENSG00000163914	3	129247483	129254012	27	11	615862	-0.65305	0.74314	RHO
ENSG00000178804	3	129262057	129270310	40	12	610404	1.3941	0.081639	H1FOO
ENSG00000004399	3	129274018	129325661	236	39	615989	0.91122	0.18109	PLXND1
ENSG00000172765	3	129366635	129612419	513	44	601908	1.7835	0.037249	TMCC1
ENSG00000170893	3	129693148	129696781	11	5	625829	0.98809	0.16155	TRH
ENSG00000172752	3	130064359	130203688	657	53	616904	-1.1144	0.86745	COL6A5
ENSG00000206384	3	130279178	130396999	342	55	606676	-1.0616	0.85578	COL6A6
ENSG00000196455	3	130397779	130465673	224	21	588138	0.50121	0.30811	PIK3R4
ENSG00000017260	3	130569439	130735556	475	56	601878	0.6918	0.24453	ATP2C1
ENSG00000034533	3	130732719	130746493	38	9	603968	-0.55085	0.70913	ASTE1
ENSG00000114670	3	130745694	131069309	991	61	609797	0.37103	0.35531	NEK11
ENSG00000198585	3	131100515	131107674	14	10	600986	-2.0681	0.98068	NUDT16
ENSG00000114686	3	131181056	131221827	131	31	602634	0.42696	0.3347	MRPL3
ENSG00000196353	3	131252399	132004254	3878	151	612774	2.7801	0.0027173	CPNE4
ENSG00000014257	3	132036211	132087142	256	27	621091	-0.44585	0.67215	ACPP
ENSG00000138246	3	132136370	132257876	365	44	613843	1.6863	0.045871	DNAJC13
ENSG00000240303	3	132276982	132379567	248	43	609643	1.0614	0.14426	ACAD11
ENSG00000113971	3	132276986	132441303	390	44	612701	0.90061	0.1839	NPHP3
ENSG00000129048	3	132316081	132337811	56	19	612547	0.064715	0.4742	ACKR4
ENSG00000081307	3	132373290	132396941	38	16	610728	0.6392	0.26135	UBA5
ENSG00000144868	3	132757235	133116636	1615	74	603460	-0.37441	0.64595	TMEM108
ENSG00000170819	3	133118839	133194066	354	62	610747	0.92149	0.1784	BFSP2
ENSG00000091527	3	133292574	133309105	61	15	607413	1.0493	0.14701	CDV3
ENSG00000163781	3	133317019	133380737	240	32	618227	-0.051614	0.52058	TOPBP1
ENSG00000091513	3	133464800	133497850	142	27	613141	-0.96281	0.83218	TF
ENSG00000144867	3	133502877	133544616	147	35	605786	-0.55174	0.70944	SRPRB
ENSG00000154917	3	133543083	133614680	317	72	610752	-0.10482	0.54174	RAB6B
ENSG00000221972	3	133646992	133648656	5	3	606116	0.42281	0.33622	C3orf36
ENSG00000174640	3	133651540	133771028	531	87	604913	-0.49777	0.69068	SLCO2A1
ENSG00000163785	3	133784147	133969689	669	44	616969	2.4594	0.0069587	RYK
ENSG00000114019	3	134074716	134094321	60	21	589346	1.2761	0.10096	AMOTL2
ENSG00000129055	3	134196548	134205558	25	5	622512	1.7937	0.036428	ANAPC13
ENSG00000182923	3	134204585	134293859	302	17	604146	2.0159	0.021907	CEP63
ENSG00000154928	3	134316643	134979309	2658	219	613775	2.8581	0.0021306	EPHB1
ENSG00000174611	3	134321980	134370478	158	15	612802	2.4653	0.0068448	KY
ENSG00000073711	3	135684515	135866733	462	56	607913	1.4403	0.074889	PPP2R3A
ENSG00000174579	3	135867764	135916083	103	40	600632	0.71456	0.23744	MSL2
ENSG00000114054	3	135969148	136056738	251	52	594001	0.94203	0.17309	PCCB
ENSG00000118007	3	136055077	136471220	986	55	607365	0.065951	0.47371	STAG1
ENSG00000168917	3	136537489	136574734	139	14	610602	-0.62214	0.73308	SLC35G2
ENSG00000158092	3	136581050	136668665	260	16	615811	-0.36783	0.6435	NCK1
ENSG00000174564	3	136665072	136729927	169	22	615464	0.96395	0.16754	IL20RB
ENSG00000168875	3	137483579	137484396	1	1	632802	0.97411	0.165	SOX14
ENSG00000066405	3	137717577	137752494	100	20	606976	0.4323	0.33276	CLDN18
ENSG00000158163	3	137780832	137834660	175	19	618963	-0.1074	0.54276	DZIP1L
ENSG00000118017	3	137842560	137851229	27	8	594765	1.3148	0.094289	A4GNT
ENSG00000138231	3	137879854	137893791	37	9	598809	1.8221	0.03422	DBR1
ENSG00000114098	3	137906109	138017231	188	73	596929	0.55985	0.28779	ARMC8
ENSG00000181322	3	137980279	138048728	116	53	602827	-0.31753	0.62458	NME9
ENSG00000158186	3	138066539	138124375	209	31	613057	2.3236	0.010074	MRAS
ENSG00000158220	3	138153428	138200528	147	37	606581	0.25895	0.39784	ESYT3
ENSG00000114107	3	138213186	138313380	251	30	610762	0.54018	0.29454	CEP70
ENSG00000158234	3	138327448	138352218	63	17	607101	-0.0037336	0.50149	FAIM
ENSG00000051382	3	138372860	138553780	399	28	607744	-0.13149	0.55231	PIK3CB
ENSG00000183770	3	138663066	138665982	8	4	608986	0.68747	0.24589	FOXL2
ENSG00000206262	3	138666076	138672293	22	4	612886	0.56259	0.28686	C3orf72
ENSG00000206260	3	138722804	138725110	9	6	596806	-0.44081	0.67032	PRR23A
ENSG00000175110	3	138724648	139076065	1240	99	606918	0.91616	0.17979	MRPS22
ENSG00000184814	3	138737873	138739768	2	1	632802	0.6088	0.27133	PRR23B
ENSG00000233701	3	138760944	138763734	15	4	608039	-0.96454	0.83261	PRR23C
ENSG00000184432	3	139074442	139108574	108	17	617794	1.5075	0.065847	COPB2
ENSG00000114113	3	139171726	139199589	109	22	612167	1.4864	0.068581	RBP2
ENSG00000114115	3	139236276	139258671	77	21	617187	1.0004	0.15857	RBP1
ENSG00000163864	3	139279022	139396859	344	50	611028	0.25924	0.39772	NMNAT3
ENSG00000158258	3	139654027	140296239	2581	226	612717	-0.50685	0.69387	CLSTN2
ENSG00000155890	3	140396881	140419992	89	19	615231	2.4836	0.0065038	TRIM42
ENSG00000114120	3	140660672	140698775	123	15	608856	0.055322	0.47794	SLC25A36
ENSG00000175093	3	140770244	140867453	329	37	602895	-0.1611	0.56399	SPSB4
ENSG00000155893	3	140947568	141013748	328	37	611280	0.69761	0.24271	ACPL2
ENSG00000177311	3	141043055	141168634	407	50	607170	0.087369	0.46519	ZBTB38
ENSG00000155903	3	141205889	141334184	266	35	608202	-0.30868	0.62122	RASA2
ENSG00000114125	3	141457046	141466402	40	10	609035	0.67775	0.24896	RNF7
ENSG00000114124	3	141496990	141537332	148	32	615784	0.24361	0.40377	GRK7
ENSG00000069849	3	141594966	141645356	234	33	616448	2.4737	0.0066866	ATP1B3
ENSG00000114126	3	141663277	141868386	868	29	616997	1.538	0.062023	TFDP2
ENSG00000175066	3	141882414	141944449	200	46	608113	0.89478	0.18545	GK5
ENSG00000114127	3	142025449	142166904	310	39	602288	3.2167	0.0006483	XRN1
ENSG00000175054	3	142168077	142297668	426	36	602592	0.37101	0.35532	ATR
ENSG00000120756	3	142315229	142432506	374	38	604500	2.4965	0.0062714	PLS1
ENSG00000144935	3	142442916	142526730	251	36	597107	2.9921	0.0013854	TRPC1
ENSG00000163710	3	142534764	142608045	275	48	614750	2.2214	0.013162	PCOLCE2
ENSG00000188582	3	142668006	142682178	52	18	611444	-0.16876	0.56701	PAQR9
ENSG00000163714	3	142683339	142779567	305	39	600506	3.633	0.00014006	U2SURP
ENSG00000175040	3	142838173	142841800	10	6	586027	0.61828	0.2682	CHST2
ENSG00000181804	3	142984064	143567373	2484	221	616354	2.9462	0.0016087	SLC9A9
ENSG00000181744	3	143690640	143767561	266	29	614708	4.8923	4.9839e-07	C3orf58
ENSG00000232013	3	145782358	145784156	5	3	619459	0.82721	0.20406	AC107021.1
ENSG00000152952	3	145787227	145881440	366	23	613773	-1.1344	0.87168	PLOD2
ENSG00000114698	3	145910126	145968966	311	30	610626	2.1288	0.016634	PLSCR4
ENSG00000163746	3	146109208	146213778	425	29	614047	-0.39311	0.65288	PLSCR2
ENSG00000188313	3	146232967	146262651	161	21	623228	0.39056	0.34806	PLSCR1
ENSG00000231213	3	146294342	146324003	185	23	618286	0.52817	0.29869	PLSCR5
ENSG00000174963	3	147103833	147124647	56	23	612197	4.1419	1.7224e-05	ZIC4
ENSG00000152977	3	147111209	147228080	389	40	611952	3.7515	8.7897e-05	ZIC1
ENSG00000144891	3	148415571	148460795	167	32	610610	-0.85307	0.80319	AGTR1
ENSG00000153002	3	148508889	148577974	313	65	613301	0.15468	0.43854	CPB1
ENSG00000163751	3	148583043	148614983	129	25	614990	-0.49221	0.68871	CPA3
ENSG00000163754	3	148709128	148745419	136	38	593766	-2.0321	0.97893	GYG1
ENSG00000071794	3	148747914	148804341	196	45	605882	-2.2194	0.98677	HLTF
ENSG00000163755	3	148847371	148891519	215	39	615047	-1.7393	0.95901	HPS3
ENSG00000047457	3	148880197	148939842	231	53	617948	-0.72577	0.76601	CP
ENSG00000163762	3	149036285	149052201	64	24	616320	0.86961	0.19226	TM4SF18
ENSG00000169908	3	149086809	149095652	26	7	618146	0.16988	0.43255	TM4SF1
ENSG00000169903	3	149191761	149221068	232	27	622253	0.72191	0.23518	TM4SF4
ENSG00000018408	3	149235022	149454501	1013	94	610064	-0.010793	0.50431	WWTR1
ENSG00000114744	3	149456257	149470286	35	8	609121	1.0115	0.1559	COMMD2
ENSG00000206199	3	149478892	149686172	652	53	614645	2.0249	0.021439	ANKUB1
ENSG00000082996	3	149530495	149679926	428	48	613936	1.6953	0.045007	RNF13
ENSG00000070087	3	149682691	149768575	300	34	616601	3.5034	0.00022971	PFN2
ENSG00000268175	3	149689066	149690535	4	2	613626	2.38	0.0086567	AC117395.1
ENSG00000196428	3	150126122	150184218	191	30	612577	0.016154	0.49356	TSC22D2
ENSG00000120742	3	150259781	150321015	217	35	616086	1.3645	0.086201	SERP1
ENSG00000144895	3	150264465	150302029	131	28	612463	1.6175	0.052881	EIF2A
ENSG00000198843	3	150320662	150348222	76	22	608641	1.7647	0.038808	SELT
ENSG00000163645	3	150377672	150421758	143	41	613099	0.42565	0.33518	FAM194A
ENSG00000181788	3	150458914	150481264	69	9	618422	1.9904	0.023273	SIAH2
ENSG00000214237	3	150588832	150612089	82	20	613970	1.5903	0.055881	FAM188B2
ENSG00000260234	3	150600784	150659530	272	66	614450	0.603	0.27326	RP11-166N6.3
ENSG00000163646	3	150643950	150690786	221	41	615357	-0.27121	0.60688	CLRN1
ENSG00000144893	3	150803484	151154860	1350	79	610259	2.3694	0.0089079	MED12L
ENSG00000174946	3	150915619	150920988	15	6	599785	-0.044773	0.51786	GPR171
ENSG00000174944	3	150929905	150996255	234	39	608460	0.65989	0.25466	P2RY14
ENSG00000138271	3	151011891	151034740	103	21	605474	1.4821	0.069156	GPR87
ENSG00000181631	3	151044100	151047336	15	6	620741	2.2581	0.011971	P2RY13
ENSG00000169313	3	151055168	151102600	197	37	614325	3.035	0.0012029	P2RY12
ENSG00000152580	3	151143172	151176497	121	29	606019	0.63877	0.26149	IGSF10
ENSG00000197953	3	151451704	151479127	121	21	622015	-0.49569	0.68994	AADACL2
ENSG00000114771	3	151531825	151546276	95	13	624780	0.42976	0.33368	AADAC
ENSG00000198829	3	151591431	151602405	42	14	621263	-0.01959	0.50781	SUCNR1
ENSG00000152601	3	151961617	152183569	567	60	602267	1.6598	0.048473	MBNL1
ENSG00000221962	3	152057484	152058779	4	1	601849	1.3457	0.089198	TMEM14E
ENSG00000169860	3	152552736	152555841	6	2	632802	1.3125	0.094673	P2RY1
ENSG00000181467	3	152880029	152886265	15	10	610514	1.0048	0.15751	RAP2B
ENSG00000237787	3	153202284	153220486	87	14	613771	-0.74125	0.77073	C3orf79
ENSG00000114790	3	153838792	153975616	485	44	609832	2.4	0.0081968	ARHGEF26
ENSG00000174953	3	153990335	154042286	141	31	608940	1.4406	0.074852	DHX36
ENSG00000174948	3	154055461	154147504	301	32	618607	1.8289	0.033704	GPR149
ENSG00000196549	3	154741913	154901497	592	89	598868	0.45833	0.32336	MME
ENSG00000114805	3	155093369	155462856	1586	58	610744	0.95753	0.16915	PLCH1
ENSG00000214919	3	155459933	155461515	4	2	604254	0.94569	0.17215	AC104472.1
ENSG00000174928	3	155480401	155524140	146	28	609641	-0.36204	0.64134	C3orf33
ENSG00000169359	3	155538813	155572218	130	21	607021	-0.50726	0.69401	SLC33A1
ENSG00000163655	3	155588325	155661815	290	22	616617	0.24839	0.40191	GMPS
ENSG00000169282	3	155755490	156256545	1991	121	607346	0.39265	0.34729	KCNAB1
ENSG00000114850	3	156257929	156272973	55	10	624304	-0.56015	0.71231	SSR3
ENSG00000163659	3	156391024	156424559	107	26	611399	0.90846	0.18182	TIPARP
ENSG00000197980	3	156543270	156763918	859	44	612047	1.1697	0.12106	LEKR1
ENSG00000163660	3	156864297	156878549	34	8	615980	-1.6052	0.94577	CCNL1
ENSG00000197415	3	156977531	157251408	1061	60	610631	-1.2358	0.89173	VEPH1
ENSG00000163661	3	157154578	157161417	18	8	617956	-0.49339	0.68913	PTX3
ENSG00000174899	3	157261035	157395538	663	62	605169	4.91	4.5549e-07	C3orf55
ENSG00000168779	3	157814948	157824292	32	6	618809	3.6058	0.00015557	SHOX2
ENSG00000174891	3	157823644	158263519	1634	35	616267	5.4328	2.7744e-08	RSRC1
ENSG00000178053	3	158288952	158325041	138	21	617771	2.6337	0.0042225	MLF1
ENSG00000168827	3	158362067	158410364	203	15	620546	0.86641	0.19313	GFM1
ENSG00000079257	3	158363611	158390482	107	11	620331	1.0064	0.15711	LXN
ENSG00000118849	3	158414681	158450485	138	23	619337	0.80652	0.20997	RARRES1
ENSG00000118855	3	158449987	158547508	320	34	613960	0.97939	0.16369	MFSD1
ENSG00000250588	3	158680024	159615155	3131	172	605854	5.4096	3.1576e-08	IQCJ-SCHIP1
ENSG00000214216	3	158680717	158984096	967	85	604369	4.9732	3.2935e-07	IQCJ
ENSG00000151967	3	159557650	159615149	142	44	596324	1.3153	0.09421	SCHIP1
ENSG00000168811	3	159706537	159713806	29	11	589607	-0.27553	0.60854	IL12A
ENSG00000242107	3	159733811	159749210	107	18	599401	-1.2567	0.89557	LINC01100
ENSG00000180044	3	159943423	159945999	8	4	591352	-0.61413	0.73044	C3orf80
ENSG00000248710	3	159945241	160167617	627	65	598953	0.073471	0.47072	RP11-432B6.3
ENSG00000068885	3	159974774	160117668	367	52	596036	0.1141	0.45458	IFT80
ENSG00000113810	3	160117062	160152750	114	31	599433	0.1377	0.44524	SMC4
ENSG00000213186	3	160150233	160203561	182	38	589827	0.25004	0.40128	TRIM59
ENSG00000186432	3	160212783	160283376	213	42	593620	0.16973	0.43261	KPNA4
ENSG00000179674	3	160394948	160396233	2	1	632802	1.1133	0.13279	ARL14
ENSG00000163590	3	160473390	160796695	1066	51	609706	2.7844	0.002681	PPM1L
ENSG00000169255	3	160801671	160823172	60	14	606601	1.5641	0.058895	B3GALNT1
ENSG00000169251	3	160822484	160971320	481	41	607690	2.7526	0.0029563	NMD3
ENSG00000196542	3	161062580	161090668	134	24	616235	1.764	0.038865	SPTSSB
ENSG00000182447	3	161214596	161221730	27	4	627860	0.14212	0.44349	OTOL1
ENSG00000090402	3	164696686	164796283	299	27	605224	-1.4296	0.92358	SI
ENSG00000121871	3	164904508	164914897	30	12	599144	1.0487	0.14716	SLITRK3
ENSG00000114200	3	165490692	165555260	246	39	619900	-0.59436	0.72386	BCHE
ENSG00000169064	3	166958075	167099134	519	43	607329	-0.91698	0.82042	ZBBX
ENSG00000114204	3	167159577	167196792	129	18	624383	1.7084	0.043781	SERPINI2
ENSG00000174776	3	167196472	167371771	488	87	604193	3.179	0.00073888	WDR49
ENSG00000114209	3	167401086	167452727	124	17	606317	2.7307	0.0031603	PDCD10
ENSG00000163536	3	167453031	167543356	354	30	618943	0.26501	0.3955	SERPINI1
ENSG00000173905	3	167726465	167813763	265	37	609472	2.439	0.0073645	GOLIM4
ENSG00000085276	3	168801287	169381406	2435	187	612800	0.52485	0.29984	MECOM
ENSG00000184378	3	169484709	169487683	13	4	599838	0.59283	0.27665	ACTRT3
ENSG00000085274	3	169490619	169507504	29	8	605183	-0.12221	0.54863	MYNN
ENSG00000171757	3	169511216	169530774	62	10	610819	-0.2544	0.60041	LRRC34
ENSG00000188306	3	169539710	169555563	67	20	603923	0.80867	0.20935	LRRIQ4
ENSG00000114248	3	169556967	169587718	111	23	606115	0.0011449	0.49954	LRRC31
ENSG00000187033	3	169629360	169656963	107	26	616804	-1.2385	0.89224	SAMD7
ENSG00000008952	3	169684423	169716161	70	10	614431	-0.99256	0.83954	SEC62
ENSG00000173890	3	169755717	169803191	135	19	611814	0.34352	0.3656	GPR160
ENSG00000173889	3	169804520	169899537	201	37	611246	0.78934	0.21496	PHC3
ENSG00000163558	3	169940153	170023769	380	20	612844	0.018774	0.49251	PRKCI
ENSG00000136603	3	170075466	170114623	135	22	609096	-0.2785	0.60969	SKIL
ENSG00000013297	3	170136653	170578169	1582	123	609068	-0.52386	0.69981	CLDN11
ENSG00000013293	3	170177372	170303863	411	70	606581	-0.62722	0.73474	SLC7A14
ENSG00000163584	3	170582664	170588272	16	4	612531	0.73098	0.2324	RPL22L1
ENSG00000163577	3	170606204	170626482	57	15	610574	0.33831	0.36757	EIF5A2
ENSG00000163581	3	170714137	170744539	111	15	613138	-0.03546	0.51414	SLC2A2
ENSG00000154310	3	170779128	171178197	1515	166	613850	-1.1185	0.86832	TNIK
ENSG00000075651	3	171318195	171528740	892	42	608757	4.9911	3.0021e-07	PLD1
ENSG00000183657	3	171509580	171527714	79	14	621831	4.7043	1.2735e-06	PP13439
ENSG00000186329	3	171561139	171656505	485	46	602989	1.6651	0.047943	TMEM212
ENSG00000075420	3	171757418	172119455	1323	162	610811	-0.37766	0.64716	FNDC3B
ENSG00000267979	3	172019438	172019686	1	1	632802	0.94238	0.173	AC092964.2
ENSG00000203443	3	172034218	172039513	18	11	618511	0.46713	0.3202	AC092964.1
ENSG00000121853	3	172162923	172166246	11	5	621546	-1.9051	0.97162	GHSR
ENSG00000121858	3	172223298	172241297	83	16	626627	-0.68912	0.75463	TNFSF10
ENSG00000144959	3	172348039	172429008	354	68	605568	3.2984	0.00048617	NCEH1
ENSG00000269496	3	172361483	172361740	2	1	532543	0.50684	0.30613	AC007919.2
ENSG00000114346	3	172468472	172539264	223	34	607881	1.7579	0.039386	ECT2
ENSG00000144962	3	172607148	172859058	972	86	604517	0.69526	0.24345	SPATA16
ENSG00000169760	3	173114074	174004434	3535	210	609297	4.0601	2.4531e-05	NLGN1
ENSG00000177694	3	174156363	175523428	6356	368	611396	0.29646	0.38344	NAALADL2
ENSG00000177565	3	176737143	176915261	666	66	608925	0.59224	0.27685	TBL1XR1
ENSG00000197584	3	177990720	178562217	2414	149	609390	0.40976	0.34099	KCNMB2
ENSG00000172667	3	178735011	178790067	150	33	602222	2.9186	0.0017579	ZMAT3
ENSG00000121879	3	178865902	178957881	344	41	598938	2.4398	0.0073487	PIK3CA
ENSG00000171121	3	178957530	178984790	160	28	616440	1.0665	0.1431	KCNMB3
ENSG00000121864	3	179040779	179053323	67	16	582883	0.035849	0.4857	ZNF639
ENSG00000171109	3	179065480	179112719	180	34	582471	-0.3227	0.62654	MFN1
ENSG00000114450	3	179116990	179169378	193	44	592898	0.027013	0.48922	GNB4
ENSG00000136518	3	179280668	179306196	73	18	604533	-0.2504	0.59886	ACTL6A
ENSG00000136522	3	179306073	179322442	45	11	600174	-0.68176	0.75231	MRPL47
ENSG00000136521	3	179322478	179345435	58	18	601018	0.82754	0.20397	NDUFB5
ENSG00000058056	3	179370543	179507189	534	67	606875	0.26042	0.39727	USP13
ENSG00000114757	3	179512746	179754841	911	80	611381	-0.17749	0.57044	PEX5L
ENSG00000163728	3	180319918	180335616	34	18	592705	0.77572	0.21896	TTC14
ENSG00000145075	3	180320646	180588793	1078	85	598372	2.8042	0.0025222	CCDC39
ENSG00000114416	3	180585929	180700541	391	39	612931	3.9423	4.0353e-05	FXR1
ENSG00000205981	3	180701497	180707562	22	12	586451	1.8394	0.03293	DNAJC19
ENSG00000181449	3	181429714	181432221	5	3	581353	1.221	0.11104	SOX2
ENSG00000058063	3	182511288	182639423	324	21	618328	0.90451	0.18286	ATP11B
ENSG00000043093	3	182655862	182703741	112	32	597760	0.16978	0.43259	DCUN1D1
ENSG00000078070	3	182733006	182833863	290	32	610435	0.71027	0.23877	MCCC1
ENSG00000078081	3	182840001	182881627	213	32	617837	-0.42745	0.66547	LAMP3
ENSG00000053524	3	182895831	183146566	985	91	615030	-0.1293	0.55144	MCF2L2
ENSG00000176597	3	182971032	183016292	153	11	618602	0.60932	0.27115	B3GNT5
ENSG00000172578	3	183205319	183273477	262	35	592650	0.49129	0.31161	KLHL6
ENSG00000114796	3	183353356	183402265	215	9	620386	1.1691	0.12118	KLHL24
ENSG00000163872	3	183415606	183530413	341	42	603779	3.8371	6.2254e-05	YEATS2
ENSG00000180834	3	183533664	183543382	49	11	598147	3.624	0.00014501	MAP6D1
ENSG00000175193	3	183547173	183602721	224	32	608158	2.2983	0.010772	PARL
ENSG00000114770	3	183637722	183735803	343	32	608967	0.39124	0.34781	ABCC5
ENSG00000186090	3	183749332	183757157	51	14	601364	2.235	0.012707	HTR3D
ENSG00000178084	3	183770835	183778459	37	13	608725	-0.20508	0.58125	HTR3C
ENSG00000186038	3	183814852	183824783	33	12	607686	0.30153	0.38151	HTR3E
ENSG00000145191	3	183852826	184402546	2387	250	616927	2.2717	0.011552	EIF2B5
ENSG00000161202	3	183873176	183891398	43	17	617725	1.2218	0.11089	DVL3
ENSG00000161203	3	183892477	183901879	31	13	610446	1.9335	0.026587	AP2M1
ENSG00000161204	3	183903811	183911800	31	10	626346	1.6857	0.045922	ABCF3
ENSG00000145198	3	183948217	183960117	33	10	615041	0.9541	0.17002	VWA5B2
ENSG00000214160	3	183960089	183967336	18	9	617976	-0.14383	0.55718	ALG3
ENSG00000145194	3	183967438	184010819	118	26	618039	1.1007	0.13551	ECE2
ENSG00000163888	3	183977001	183979251	7	4	605584	0.12485	0.45032	CAMK2N2
ENSG00000175166	3	184016497	184026842	29	11	617030	0.16329	0.43515	PSMD2
ENSG00000114867	3	184032283	184053146	52	25	612452	1.1942	0.1162	EIF4G1
ENSG00000175182	3	184053714	184064063	37	18	600072	2.2178	0.013283	FAM131A
ENSG00000114859	3	184063973	184079439	57	22	620089	1.8862	0.029634	CLCN2
ENSG00000163882	3	184079506	184086384	22	10	611995	0.78719	0.21559	POLR2H
ENSG00000090534	3	184089723	184095932	22	8	632802	0.37179	0.35502	THPO
ENSG00000090539	3	184097861	184108524	30	12	611513	0.22976	0.40914	CHRD
ENSG00000224153	3	184119325	184157436	193	40	617249	1.5077	0.065818	RP11-433C9.2
ENSG00000182580	3	184279572	184300197	90	25	616287	0.52488	0.29983	EPHB3
ENSG00000177383	3	184428156	184429836	5	2	606116	-0.8898	0.81321	MAGEF1
ENSG00000156931	3	184529931	184770402	652	46	610547	-0.70199	0.75866	VPS8
ENSG00000187068	3	184795838	184870802	276	36	616414	-0.13867	0.55514	C3orf70
ENSG00000113790	3	184908412	184999778	273	34	600651	-0.035914	0.51432	EHHADH
ENSG00000073803	3	185000729	185206885	641	47	614839	1.152	0.12466	MAP3K13
ENSG00000163900	3	185194284	185216845	56	24	590468	1.3426	0.089695	TMEM41A
ENSG00000163898	3	185224050	185270401	187	25	613074	0.2633	0.39616	LIPH
ENSG00000163904	3	185300284	185351339	167	19	610274	2.7266	0.0031993	SENP2
ENSG00000073792	3	185361527	185542844	459	81	599814	0.50289	0.30752	IGF2BP2
ENSG00000163915	3	185430316	185447575	38	18	597948	1.1125	0.13295	C3orf65
ENSG00000136527	3	185633694	185655924	56	24	604575	-0.02819	0.51124	TRA2B
ENSG00000244405	3	185764097	185828107	165	34	606045	1.2578	0.10424	ETV5
ENSG00000058866	3	185823457	186080026	943	174	610139	-0.33595	0.63154	DGKG
ENSG00000213139	3	186256230	186264491	21	11	605126	-1.5498	0.93941	CRYGS
ENSG00000113838	3	186263862	186288332	76	19	608753	0.37255	0.35474	TBCCD1
ENSG00000090520	3	186285192	186315061	115	13	592304	1.0077	0.15679	DNAJB11
ENSG00000145192	3	186330712	186339107	38	15	595437	0.60124	0.27384	AHSG
ENSG00000090512	3	186353758	186370930	72	26	608645	-1.6324	0.9487	FETUB
ENSG00000113905	3	186378005	186396029	76	19	611641	-1.2348	0.89154	HRG
ENSG00000113889	3	186435065	186461743	171	22	613479	-0.22675	0.58969	KNG1
ENSG00000156976	3	186500994	186507689	36	20	591291	0.92863	0.17654	EIF4A2
ENSG00000163918	3	186507669	186524847	71	15	593514	1.7252	0.042244	RFC4
ENSG00000181092	3	186560463	186576252	80	30	604750	1.2542	0.10489	ADIPOQ
ENSG00000073849	3	186648274	186796341	810	114	612143	-1.7657	0.96128	ST6GAL1
ENSG00000163923	3	186838736	186898696	279	37	608167	0.13488	0.44635	RPL39L
ENSG00000175077	3	186915274	186919253	16	10	601849	-2.7494	0.99701	RTP1
ENSG00000127241	3	186935942	187009810	332	67	606557	-0.96032	0.83155	MASP1
ENSG00000136514	3	187086120	187089864	26	13	614916	2.4508	0.0071273	RTP4
ENSG00000157005	3	187386694	187388187	10	5	612750	-0.35946	0.64038	SST
ENSG00000198471	3	187416047	187420345	21	6	621010	1.2468	0.10624	RTP2
ENSG00000228804	3	187420101	187451637	152	31	614366	1.6609	0.048366	RP11-211G3.3
ENSG00000113916	3	187439165	187463515	102	27	614115	1.7721	0.038185	BCL6
ENSG00000145012	3	187871072	188608460	2971	313	612227	1.5956	0.05529	LPP
ENSG00000213132	3	187896331	187898598	14	4	628037	-0.054319	0.52166	AC022498.1
ENSG00000188001	3	188665003	189043093	1205	134	604748	0.39317	0.3471	TPRG1
ENSG00000073282	3	189349205	189615068	1343	174	613935	-2.9998	0.99865	TP63
ENSG00000090530	3	189674517	189840226	852	52	612137	-0.65862	0.74493	LEPREL1
ENSG00000163347	3	190023490	190040264	114	32	609006	0.60315	0.2732	CLDN1
ENSG00000113946	3	190040330	190129932	551	37	615134	0.11651	0.45362	CLDN16
ENSG00000198398	3	190146444	190167665	107	28	610797	0.46102	0.32239	TMEM207
ENSG00000196083	3	190231840	190375843	632	95	613789	1.1332	0.12856	IL1RAP
ENSG00000205835	3	190570666	190610218	173	49	617220	1.8032	0.03568	GMNC
ENSG00000188729	3	190917030	190983404	305	43	615359	-0.45942	0.67704	OSTN
ENSG00000188958	3	190984957	191048325	368	31	617753	1.9402	0.026178	UTS2B
ENSG00000152492	3	191046866	191116459	387	32	616276	2.5187	0.0058892	CCDC50
ENSG00000253548	3	191178952	191179245	1	1	632802	1.5607	0.0593	PYDC2
ENSG00000114279	3	191857184	192485553	2807	226	605680	0.48169	0.31501	FGF12
ENSG00000180611	3	192514604	192635950	517	46	608011	1.4383	0.075174	MB21D2
ENSG00000127252	3	192958914	192995527	151	25	589270	0.51986	0.30158	HRASLS
ENSG00000187527	3	192992579	193096632	496	58	600198	1.4896	0.06817	ATP13A5
ENSG00000127249	3	193119866	193310900	741	74	606230	-0.96461	0.83263	ATP13A4
ENSG00000198836	3	193310933	193415612	370	27	613323	-0.011534	0.5046	OPA1
ENSG00000114315	3	193853934	193856521	5	3	619459	1.7457	0.04043	HES1
ENSG00000178772	3	194060494	194072057	99	17	619229	-0.12992	0.55168	CPN2
